acceptedSymbol,taxon_id
"ACRUA8","49873"
"ACRUR2","49872"
"ACDI13","1330928"
"ACIN13","1003142"
"ACPE2","138282"
"ACSP14","1002204"
"ADRI","548302"
"ADVA","158006"
"ADBI","56854"
"ADAB2","NaN"
"ADCA5","493411"
"ADAB","158008"
"ADEP","1004682"
"ADHA","158009"
"ADHY","123110"
"ADMO3","NaN"
"ADOA","158010"
"ADPE2","158011"
"ADPI","158012"
"ADTA","158013"
"ADTR2","158014"
"ADCO2","75286"
"ADPO","75287"
"ADPO2","158015"
"ADWR","158016"
"ADJA","1466830"
"ADLA4","1144605"
"ADLA2","158017"
"ADVE2","980683"
"ADFA","47146"
"ADFAF","538825"
"ADFAO","80321"
"ADSP","75288"
"ADTR3","NaN"
"ADAL","52667"
"ADAN2","158018"
"ADCA","1670790"
"ADCO","275606"
"ADFR","138343"
"ADFRF","1054109"
"ADFRR","1002722"
"ADJO","56032"
"ADLA","275610"
"ADMA","158021"
"ADME","158022"
"ADOB","275607"
"ADPA3","1002765"
"ADPE","48435"
"ADPE3","275608"
"ADPH","138352"
"ADPU","275611"
"ADPY","866323"
"ADSH","504880"
"ADTE","132645"
"ADTE2","275612"
"ADTR","158025"
"ADVI","158026"
"ADVI3","138360"
"ADVI4","739406"
"ADWI","282460"
"ADFU","158027"
"ADCA2","75289"
"ADIN","158028"
"ADMO","55790"
"AELI","870152"
"AENU","273938"
"AEEL","158032"
"AEMA","287850"
"AETE","158033"
"AESE","158034"
"AEAM","63705"
"AEGR","188988"
"AEIN","158036"
"AEPR","158037"
"AERU","75294"
"AESE2","158038"
"AESES","316271"
"AEVI2","158039"
"AEVI3","158040"
"AEVI","158041"
"AEBU","NaN"
"AECA2","492200"
"AEHY","NaN"
"AEMA2","NaN"
"AEMU","NaN"
"AENE","NaN"
"AEWO","NaN"
"AECA","53348"
"AEFL","116362"
"AEGL","67790"
"AEGLA","239088"
"AEGLG","239089"
"AEPA2","158042"
"AEPA","81708"
"AEPAF","239090"
"AEPAP","239091"
"AESY","129996"
"AGAC","158044"
"AGAP3","158045"
"AGAS2","158046"
"AGAU3","158047"
"AGCA8","158048"
"AGCA7","158049"
"AGDE6","158050"
"AGDI2","158051"
"AGED","158052"
"AGFA2","158053"
"AGFI","158054"
"AGFI2","158055"
"AGFL2","545247"
"AGGA","158056"
"AGHA3","158057"
"AGHE4","142653"
"AGHO4","158058"
"AGLA10","158059"
"AGLI2","158060"
"AGMA3","133317"
"AGMAG","133316"
"AGMAM","239092"
"AGNA","158061"
"AGNE5","158062"
"AGNU","158063"
"AGOB","1132154"
"AGOL","158065"
"AGPA12","62402"
"AGPAB","239093"
"AGPAP3","239094"
"AGPL","158066"
"AGPU4","776932"
"AGPU5","158068"
"AGSE3","158069"
"AGSK","158070"
"AGST4","158071"
"AGTE3","120007"
"AGTEL","239095"
"AGTEM","239096"
"AGTEP2","239097"
"AGTEP3","239098"
"AGTET","239099"
"AGVI5","158072"
"AGHE7","425481"
"AGPO2","158073"
"AGBR","158074"
"AGCA","52630"
"AGCU","158075"
"AGFO","158076"
"AGME2","158077"
"AGMI","158078"
"AGNE2","129634"
"AGOC","158079"
"AGPA11","158080"
"AGPA","158081"
"AGPAN","234196"
"AGPAH3","NaN"
"AGPAN2","NaN"
"AGPAP2","234197"
"AGPAG3","NaN"
"AGPAG4","NaN"
"AGPAP4","NaN"
"AGPA2","75295"
"AGPR3","158082"
"AGPRV","239103"
"AGRU","158083"
"AGSC","158084"
"AGUR","63316"
"AGURG","63318"
"AGURU","63317"
"AGWR","158085"
"AGAJ","NaN"
"AGAR8","158086"
"AGAM","64103"
"AGAMA","723127"
"AGAMA2","371524"
"AGAME","371523"
"AGAMP","234209"
"AGAS3","347513"
"AGCH2","158087"
"AGDE3","158088"
"AGDE10","158089"
"AGDE","75296"
"AGDED","318261"
"AGDES","318263"
"AGEG","518429"
"AGGL2","158091"
"AGGR4","158092"
"AGHA","83104"
"AGLE","83105"
"AGMI8","863241"
"AGMI4","362364"
"AGMU","158095"
"AGNE3","158096"
"AGPA3","158098"
"AGPA4","119302"
"AGPAN6","737853"
"AGPAP5","239105"
"AGPA5","158099"
"AGPH","158100"
"AGSC3","158102"
"AGSCS2","239106"
"AGSCT","239107"
"AGSH","75297"
"AGTO","158104"
"AGTOB","239108"
"AGTOT","239109"
"AGUN2","522189"
"AGUT","75298"
"AGUTE","80327"
"AGUTK","146612"
"AGUTN","80328"
"AGUTU","239110"
"AGAL5","119048"
"AGALA","200024"
"AGALA2","239111"
"AGALR","239112"
"AGAR4","158107"
"AGARA","1568518"
"AGARI2","239114"
"AGHA4","158108"
"AGHE5","75299"
"AGJU2","131155"
"AGLE3","158109"
"AGLU","158110"
"AGOC2","75300"
"AGPA13","158111"
"AGRE3","905125"
"AGRO5","158113"
"AGSH2","75301"
"AGWR2","158115"
"AGCO","143422"
"AGCO2","158116"
"AGLI3","158117"
"AGMA14","189051"
"AGMI7","1144516"
"AGBO4","893767"
"AGEL8","893765"
"AGIN8","893764"
"AGOV","893763"
"AGRE8","893761"
"AGDA3","81451"
"AGMO2","NaN"
"AGAP2","58801"
"AGAPA","58797"
"AGAPE","58800"
"AGAPM","58802"
"AGAU2","75302"
"AGAUA","80329"
"AGAUP","239115"
"AGEL","158119"
"AGGL","75303"
"AGGLA","239116"
"AGGLC","239117"
"AGGLD","239118"
"AGGLG","80330"
"AGGLL","154164"
"AGGLM","135300"
"AGGR","52828"
"AGHE2","56856"
"AGHEC","56858"
"AGHEH","56859"
"AGHET","56857"
"AGLA9","158121"
"AGRE","57908"
"AGGR2","75307"
"AGIN3","158123"
"AGMI2","158124"
"AGPA6","55895"
"AGPU","158125"
"AGRO3","158127"
"AGST","75308"
"AGAD4","NaN"
"AGBO5","1205074"
"AGAE","158130"
"AGBL","75311"
"AGCA4","158132"
"AGCL","158133"
"AGCL2","158134"
"AGCLC","239119"
"AGCLP","239120"
"AGDE7","61059"
"AGEL4","75313"
"AGEX","59088"
"AGHA2","57155"
"AGHE3","60279"
"AGHO","75315"
"AGHO2","158136"
"AGHU","75316"
"AGHY","152948"
"AGID","75317"
"AGLA","158137"
"AGME3","158138"
"AGMI3","60277"
"AGOR","75318"
"AGPA8","52692"
"AGPA9","NaN"
"AGPE","143405"
"AGRO4","158139"
"AGSA3","158140"
"AGSC5","75319"
"AGVA","75320"
"AGVI9","158142"
"AGVIV3","1052352"
"AGEL9","1038020"
"AIRA2","370069"
"AIMI","364173"
"ALAL","85441"
"ALFI5","158145"
"ALFIF2","234219"
"ALFIV","234220"
"ALGL6","158148"
"ALLA","209856"
"ALFL3","627355"
"ALPO","NaN"
"ALMA","158152"
"ALMAA","239126"
"ALMAM2","239127"
"ALAC2","158153"
"ALAN3","158154"
"ALFI3","158155"
"ALHU","158156"
"ALMA3","158157"
"ALMAB","234223"
"ALMAM","234224"
"ALSE5","158158"
"ALTO2","NaN"
"ALAU","158159"
"ALBR6","158160"
"ALFA2","158161"
"ALLU","131660"
"ALOB3","158162"
"ALCA23","843597"
"ALFO3","843599"
"ALHA6","843596"
"ALHE3","533872"
"ALHU6","75325"
"ALLA13","75326"
"ALLAI","843605"
"ALLAL3","79566"
"ALLE7","75327"
"ALLO6","75328"
"ALMC","843607"
"ALMI10","75329"
"ALNY2","843608"
"ALPE11","518217"
"ALPI2","555030"
"ALRI3","75331"
"ALSE11","843611"
"ALST12","741645"
"ALSU10","843612"
"ALSU9","534041"
"ALTE12","366358"
"ALTR14","75332"
"ALGR","75333"
